,Spill Number,Date Spill Reported,Spill Name,County,City/Town,Address,
1,2104820,8/21/2021,RESIDENCE ,Suffolk,  HOLBROOK ,  79 SAN RAFAEL , 
2,2104821,8/21/2021,TOWER #2 SOUTH SOIDE ,New York,  MANHATTAN ,  59TH ST BRIDGE , 
3,2104822,8/21/2021,CF 3166 ,Orange,  NEW WINDSOR ,  1630 ST RTE 94 , 
4,2104823,8/21/2021,POLE TOP ,Erie,  BUFFALO ,  69 BIDWELL PARKWAY , 
5,2104824,8/21/2021,POLE 7 ,Erie,  EDEN ,  3568 HARDT RD , 
6,2104825,8/21/2021,HANGAR 10 ,Queens,  JAMAICA ,  JFK INTERNATIONAL , 
7,2104826,8/21/2021,RESIDENTIAL WELL ,Schoharie,  SCHOHARIE ,  402 RICKERHILL , 
8,2104827,8/21/2021,JAMES LORD RESIDENCE ,Broome,  WHITNEY POINT ,  31 PARK ST , 
9,2104828,8/21/2021,IN THE AREA 6 MILE BRIDGE ,Oneida,  FLOYD ,  SR 49-EB LANE , 
10,2104829,8/21/2021,GLEN COVE CREEK/HEMPSTEAD HARBOR ,Nassau,  GLEN COVE ,  SHORE RD , 
11,2104830,8/21/2021,POSSIBLE GRASS & SOIL ,Steuben,  WOODHULL ,  5729 COUNTY RD 129 , 
12,2104831,8/21/2021,WESSON GROUP ,Broome,  DEPOSIT ,  545 NY RT 41 , 
13,2104832,8/21/2021,SANDY POND MARINA ,Oswego,  SANDY CREEK ,  3303 COUNTY ROUTE 15 , 
14,2104833,8/21/2021,SMOKES CREEKS ,Erie,  ORCHARD PARK ,  5581 LAKE AVENUE , 
15,2104834,8/21/2021,JFK AIRPORT ,Queens,  QUEENS ,  JFK EXPWAY , 
16,2104835,8/21/2021,CLAPPY RESIDENCE ,Nassau,  WESTBURY ,  823 SOUTH GATE , 
17,2104836,8/21/2021,COMMERICIAL ,Onondaga,  BALDSWINVILLE ,  2900 MCLANE DR , 
18,2104837,8/21/2021,MERCURIO RESIDENCE ,Suffolk,  CENTEREACH ,  7 CUB ROAD , 
19,2104838,8/21/2021,SOIL AND PAVEMENT ,Ulster,  KINGSTON ,  1051 ULSTER AVE , 
20,2104839,8/21/2021,MILLION DOLLAR BEACH PAVEMENT ,Warren,  LAKE GEORGE ,  139 BEACH ROAD , 
21,2104840,8/21/2021,CVS PARKING LOT ,Ulster,  SAUGERTIES ,  330 STATE RT 212 , 
22,2104866,8/21/2021,ANTIQUE BOAT MUSEUM ,Jefferson,  CLAYTON ,  750 MARY STREET , 
23,2104841,8/21/2021,SOIL AND DITCH ,Jefferson,  EVANS MILLS ,  28722 NYS ROUTE 37 , 
24,2104842,8/21/2021,RESIDENTIAL ,Onondaga,  CAMILLUS ,  206 FOX DRIVE , 
25,2104843,8/21/2021,TERMINAL 8 JFK ,Queens,  jamacia ,  JFK AIRPORT , 
26,2104844,8/21/2021,RESIDENCE ,Suffolk,  EAST SETAUKET ,  33 WOODHULL ROAD , 
27,2104845,8/21/2021,ROADWAY ASPHALT ,Orange,  GREENVILLE ,  GREENVILLE REST AREA MILE MARKER 3.4 , 
28,2104846,8/21/2021,SEWAGE MANHOLE OVERFLOW ,St Lawrence,  POTSDAM ,  9 POPLAR ST , 
29,2104847,8/21/2021,RESIDENTIAL ,Suffolk,  MONTAUK ,  45 GULL ROAD , 
30,2104848,8/21/2021,DOCK AREA CONCERT WATER ,Ulster,  MILTON ,  3-17 OLD INDIAN TRAIL , 
31,2104849,8/22/2021,I-87 NB ,Saratoga,  MOREAU ,  MILEPOST 39.4 (EXIT 17) , 
32,2104850,8/22/2021,POLE DOWNED ,Putnam,  CARMEL ,  23 SCOUT HILL RD , 
33,2104851,8/22/2021,CUMBERLAND FARMS ,Suffolk,  SOUTHAMPTON ,  13 COUNTY ROAD 39 , 
34,2104852,8/22/2021,ORLEANS CO MARINA SUNKEN BOAT ,Orleans,  KENT ,  994 POINT BREEZE RD , 
35,2104853,8/22/2021,WATER ,Schenectady,  DUANESBURG ,  SHELDON RD , 
36,2104854,8/22/2021,RAMP GATE 8 TERMINAL 8 ,Queens,  JAMICA ,  JFK INTERNATION AIR PORT , 
37,2104855,8/22/2021,CREEK ,Oswego,  LACONA ,  POWERS AVE , 
38,2104856,8/22/2021,NATIONAL GRID ,Schoharie,  COBLESKILL ,  376 SNYDER RD , 
39,2104857,8/22/2021,LAKE DURANT CAMPGROUND ,Hamilton,  BLUE MOUNTAIN LAKE ,  8301 STATE ROUTE 28 & 30 , 
40,2104858,8/22/2021,RESIDENTIAL ,Suffolk,  EAST NORTHPORT ,  14 CASEY LANE , 
41,2104859,8/22/2021,NATIONAL GRID ,Albany,  DELMAR ,  28 FERBACK AVE , 
42,2104860,8/22/2021,RESIDENCE ,Niagara,  LOCKPORT ,  6689 TONAWANDA CREEK RD , 
